Solution,Cosine,BERT,File
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.2857498835149322,0.7518174509076806,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8901873838324481,0.7534179340799076,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8885475939803367,0.7537609030239841,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8793898312137651,0.7667347840425135,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8896221599562149,0.7645809715178655,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8913784388108585,0.7815441879552746,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8656309715304007,0.7553171450884046,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8949399350013898,0.7456388974649034,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8658192610633709,0.7753096108667933,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8999896153818499,0.7738631246612734,06_SHAS.docx
"{'temperature': 1.1, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8661562482004733,0.7518844254974701,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7967486826085294,0.7479358725613859,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8157343413791645,0.7367528863891712,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8217460088614015,0.7560491740012152,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8132931656445493,0.7433325419140133,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7995049737683488,0.7715569029815087,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7862392367989872,0.7664855472133858,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8031378931174293,0.7496046373901201,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.7975690385038219,0.7738485255547848,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8135777269605288,0.7567577657128852,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8103468984406724,0.744411291125156,06_SHAS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.1050122585646061,0.8116749484387727,06_SHAS.docx
